seccion,archivo_salida,afirmacion_o_bloque,archivo_fuente_principal,archivo_fuente_secundario,tipo_evidencia,observaciones
Resumen Ejecutivo,Resumen.tex,"Síntesis de problema, fuentes, ETL, dataset final, SQLite y hallazgos descriptivos.",outputs/analisis_exploratorio.md,outputs/reporte_carga_sqlite.md,reportes markdown + CSV final,"Cruza dataset, carga y outputs de Fase 9."
Introducción,Secciones/01_introduccion.tex,"Contexto del problema, dimensiones del proyecto y necesidad de integración.",README.md,data/raw/metadata_fuentes.csv,documentación del repo + metadata,No agrega resultados analíticos.
Objetivos,Secciones/02_objetivos.tex,Objetivos coherentes con lo ejecutado en Fases 1 a 9.,README.md,src/main.py,documentación y orquestación del pipeline,Refleja etapas realmente implementadas.
Alcance y decisiones metodológicas,Secciones/03_alcance_decisiones_metodologicas.tex,"Cobertura, unidad de análisis, llave principal, temporalidad y naturaleza descriptiva.",outputs/resumen_dataset_final.md,outputs/resumen_homologacion.md,reportes markdown,Incluye años de referencia observados.
Fuentes,Secciones/04_fuentes.tex,"Descripción por fuente, formato, hoja, variable y aporte.",data/raw/metadata_fuentes.csv,outputs/perfilado_fuentes.xlsx,metadata + workbook de perfilado,No inventa fichas bibliográficas externas.
Perfilado y diagnóstico,Secciones/05_perfilado_diagnostico.tex,"Filas, columnas, conflictos y problemas de calidad por fuente.",outputs/perfilado_fuentes.xlsx,outputs/conflictos_fuentes.md,workbook + reporte markdown,Resume sin volcar el Excel completo.
Llave maestra,Secciones/06_llave_maestra.tex,"Justificación de codigo_comuna, universo final y ejemplos de homologación.",outputs/homologacion_comunas.csv,outputs/resumen_homologacion.md,CSV de homologación + resumen,No reporta homologaciones manuales inexistentes.
Modelo de datos,Secciones/07_modelo_datos.tex,"Descripción real de dim_comuna, fact_desigualdad_comunal y metadata_fuentes.",db/lab1_desigualdad.sqlite,outputs/reporte_carga_sqlite.md,SQLite + reporte markdown,Respeta que nombre_comuna vive en la dimensión.
Mapa lógico,Secciones/08_mapa_logico.tex,"Origen, transformación y destino de las variables finales.",src/transform.py,src/integrate.py,código fuente,Se contrasta con staging y dataset final.
Desarrollo ETL,Secciones/09_desarrollo_etl.tex,"Extracción, transformación, integración y reproducibilidad.",src/main.py,outputs/resumen_transformaciones.md,código fuente + reportes,Incluye soporte a python src/main.py y python -m src.main.
Validación del dataset final,Secciones/10_validacion_dataset.tex,"Unicidad, cobertura, convertibilidad, rangos y ausencia de infinitos.",outputs/reporte_validacion_final.csv,outputs/reporte_validacion_final.md,CSV y markdown de validación,Se apoya en el CSV final real.
Carga SQLite,Secciones/11_carga_sqlite.tex,"Conteos por tabla, quick_check y consultas de prueba.",outputs/reporte_carga_sqlite.md,outputs/reporte_consultas_sqlite.csv,markdown + CSV de consultas,Describe la base tal como existe.
Resultados y análisis,Secciones/12_resultados_analisis.tex,"Rankings, cruces descriptivos, índice auxiliar y outlier de Quilicura.",outputs/tablas_hallazgos_fase9.csv,outputs/analisis_exploratorio.md,CSV de hallazgos + reporte analítico + figuras,Sin inferencia causal.
Limitaciones,Secciones/13_limitaciones.tex,"Años heterogéneos, índice auxiliar, dependencia de definiciones y outliers.",outputs/analisis_exploratorio.md,outputs/evaluacion_corta_fase9.md,reportes markdown,Limita interpretación del scatter.
Conclusiones,Secciones/14_conclusiones.tex,Cierre técnico del ETL y valor del dataset/SQLite como productos reutilizables.,README.md,outputs/reporte_carga_sqlite.md,documentación + reportes,Conclusión descriptiva y técnica.
Anexos,Anexos/anexos.tex,"Diccionario de datos, perfilado, homologación, validación, SQLite y revisión de Fase 9.",outputs/perfilado_fuentes.xlsx,outputs/evaluacion_corta_fase9.md,outputs y tablas auxiliares,Reúne evidencias extendidas del informe.
